title;tome;serie;read;author;editor;isbn;release_date;cover_url;created_at\n
Celui qui part;3;Les vieux fourneaux;true;Lupano, Cauuet;Dargaud;;;https://images-na.ssl-images-amazon.com/images/I/51%2Bswmgl19L._SX376_BO1,204,203,200_.jpg;2020-01-01 14:18:05 UTC
Nymphéas noirs;0;Nymphéas noirs;true;Duval, Bussi, Cassegrain;Dupuis;2800173505;2019-01-25 00:00:00 UTC;https://images-na.ssl-images-amazon.com/images/I/51NarS5sXuL._SX258_BO1,204,203,200_.jpg;2020-01-13 13:31:07 UTC
Le complot;10;Arctica;true;Pecqueur, Kovacevic, Schelle;Delcourt;;;https://images-na.ssl-images-amazon.com/images/I/51RX05edkgL._SX373_BO1,204,203,200_.jpg;2020-12-26 05:37:37 UTC
Invasion;11;Arctica;true;Pecqueur, Kovacevic, Schelle;Delcourt;;;https://images-na.ssl-images-amazon.com/images/I/51hoxISBNrL._SX373_BO1,204,203,200_.jpg;2020-12-26 05:38:59 UTC
Tamose l'égyptien;13;Le scorpion;true;Critone, Desberg;Dargaud;;;https://images-na.ssl-images-amazon.com/images/I/91jB5axznGL.jpg;2020-12-28 03:10:43 UTC
Les seigneurs financiers;19;I.R.$;true;Vrancken, Desberg;Le Lombard;;;https://m.media-amazon.com/images/I/51cSwHGa-wL.jpg;2020-12-28 03:34:10 UTC
Les démons boursiers;20;I.R.$;true;Vrancken, Desberg;Le Lombard;;;https://m.media-amazon.com/images/I/51eutx1Z-tL.jpg;2020-12-28 03:36:47 UTC
La chute des anges;21;I.R.$;true;Vrancken, Desberg;Le Lombard;;;https://m.media-amazon.com/images/I/51JHTkP4lWL.jpg;2020-12-28 03:39:06 UTC
La Selkie;38;Thorgal;true;Vignaux, Yann;Le Lombard;;;https://images-na.ssl-images-amazon.com/images/I/51X7LKXVMDL._SX375_BO1,204,203,200_.jpg;2020-12-28 03:41:44 UTC
La magicienne;4;Les vieux fourneaux;true;Lupano, Cauuet;Dargaud;;;https://images-na.ssl-images-amazon.com/images/I/81pOzedp-aL.jpg;2020-12-28 03:44:05 UTC
Bons pour l'asile;5;Les vieux fourneaux;true;Lupano, Cauuet;Dargaud;;;https://images-na.ssl-images-amazon.com/images/I/91W-G1wiH9L.jpg;2020-12-28 03:45:54 UTC
L'oreille bouchée;6;Les vieux fourneaux;true;Lupano, Cauuet;Dargaud;;;https://images-na.ssl-images-amazon.com/images/I/91PUZHAz+5L.jpg;2020-12-28 03:47:33 UTC
Des horizon de feu;3;Koralovski;false;Gauckler;Lombard;9782803635184;;https://images-na.ssl-images-amazon.com/images/I/51ICWv0dw-L._SX371_BO1,204,203,200_.jpg;2021-12-26 23:07:15 UTC
Mémoire rechargée;27;XIII;false;Jigounov, Senté;Dargaud;9782505083320;;https://images-eu.ssl-images-amazon.com/images/I/513sjmK21VL._SX218_BO1,204,203,200_QL40_ML2_.jpg;2021-12-26 23:10:37 UTC
L'étoile du désert;4;L'étoile du désert;false;Hugues Labiano, Enrico Marini, Maffre, Stephen Desberg;Dargaud;9782505069041;;https://images-eu.ssl-images-amazon.com/images/I/41X1qngh5mL._SX218_BO1,204,203,200_QL40_ML2_.jpg;2021-12-26 23:13:33 UTC
Zaroff;0;Zaroff;false;Miville-Deschênes, Runberg;Lombard;9782803672288;;https://images-eu.ssl-images-amazon.com/images/I/5167fySBZ5L._SX218_BO1,204,203,200_QL40_ML2_.jpg;2021-12-26 23:15:58 UTC
L'après Alcatraz;1;Frank Lee;true;Hasteda, Ludovic Chesnot;619 Label;9791033512691;;https://images-na.ssl-images-amazon.com/images/I/51wmRcygNzL._SX373_BO1,204,203,200_.jpg;2022-01-13 04:37:19 UTC
Neokora;39;Thorgal;true;Yann, Vignaux;Le Lombard;9782803680313;;https://images-na.ssl-images-amazon.com/images/I/41eE6KifvEL._SX375_BO1,204,203,200_.jpg;2022-02-06 01:20:12 UTC
Goldorak;1;Goldorak;true;Dorison, Bajram, Cossu, Sentenac, Guillo;Kana;9782505078463;;https://m.media-amazon.com/images/P/B09GGBHLV8.01._SCLZZZZZZZ_SX500_.jpg;2022-05-09 07:31:53 UTC
Dark Web;14;Golden city;false;Pecqueur, Malin, Schelle;Delcourt;9782413039457;;https://m.media-amazon.com/images/P/B09JCMK6LD.01._SCLZZZZZZZ_SX500_.jpg;2022-05-17 19:09:18 UTC
Acte 2: Maison-Vide;2;Le Serpent et la Lance;false;Hub;Delcourt;9782413039624;;https://images-na.ssl-images-amazon.com/images/I/81L7m29AyDL.jpg;2022-05-18 05:58:17 UTC
La Tombe d'un dieu;14;Le scorpion;false;Desberg, Critone;Dargaud;9782505089414;;https://m.media-amazon.com/images/P/B09YDKSVR7.01._SCLZZZZZZZ_SX500_.jpg;2022-06-21 08:29:40 UTC
La Résurrection des condamnés;22;I.R.$;false;Desberg, Vrancken;Le Lombard;9782803676187;;https://m.media-amazon.com/images/P/2803676184.01._SCLZZZZZZZ_SX500_.jpg;2022-06-21 08:31:50 UTC
Fraude à la terre;23;I.R.$;false;Desberg, Vrancken;Le Lombard;9782808205429;;https://m.media-amazon.com/images/P/B09YM8CMLG.01._SCLZZZZZZZ_SX500_.jpg;2022-06-21 08:32:54 UTC
